#http://jwst.astro.umontreal.ca/?page_id=51

NIRISS Instrument Team Estimated Throughput. Source: Loic Albert.
First order is valid between 0.6 and 3.0 microns.
Second order is valid between 0.6 and 1.4 microns.
Third order is a highly uncertain guess lacking lab test.
---
     wavelength (nm)       T first order      T second order       T third order
               970.0              0.2374             0.04035               0.000
               971.0              0.2383             0.04003               0.000
               972.0              0.2393             0.03972               0.000
               973.0              0.2403             0.03940               0.000
               974.0              0.2413             0.03909               0.000
               975.0              0.2422             0.03878               0.000
               976.0              0.2432             0.03847               0.000
               977.0              0.2443             0.03818               0.000
               978.0              0.2454             0.03790               0.000
               979.0              0.2464             0.03760               0.000
               980.0              0.2474             0.03730               0.000
               981.0              0.2483             0.03700               0.000
               982.0              0.2493             0.03670               0.000
               983.0              0.2502             0.03641               0.000
               984.0              0.2512             0.03611               0.000
               985.0              0.2521             0.03582               0.000
               986.0              0.2531             0.03553               0.000
               987.0              0.2540             0.03524               0.000
               988.0              0.2549             0.03496               0.000
               989.0              0.2560             0.03470               0.000
               990.0              0.2571             0.03443               0.000
               991.0              0.2580             0.03416               0.000
               992.0              0.2589             0.03387               0.000
               993.0              0.2598             0.03360               0.000
               994.0              0.2608             0.03333               0.000
               995.0              0.2617             0.03305               0.000
               996.0              0.2626             0.03278               0.000
               997.0              0.2635             0.03251               0.000
               998.0              0.2644             0.03225               0.000
               999.0              0.2653             0.03198               0.000
               1000.              0.2662             0.03172               0.000
               1001.              0.2673             0.03145               0.000
               1002.              0.2684             0.03119               0.000
               1003.              0.2693             0.03091               0.000
               1004.              0.2702             0.03063               0.000
               1005.              0.2712             0.03035               0.000
               1006.              0.2721             0.03008               0.000
               1007.              0.2730             0.02981               0.000
               1008.              0.2739             0.02954               0.000
               1009.              0.2748             0.02927               0.000
               1010.              0.2757             0.02901               0.000
               1011.              0.2766             0.02875               0.000
               1012.              0.2775             0.02849               0.000
               1013.              0.2786             0.02825               0.000
               1014.              0.2796             0.02800               0.000
               1015.              0.2806             0.02775               0.000
               1016.              0.2815             0.02750               0.000
               1017.              0.2823             0.02725               0.000
               1018.              0.2832             0.02700               0.000
               1019.              0.2841             0.02676               0.000
               1020.              0.2850             0.02651               0.000
               1021.              0.2859             0.02627               0.000
               1022.              0.2868             0.02603               0.000
               1023.              0.2877             0.02580               0.000
               1024.              0.2886             0.02556               0.000
               1025.              0.2894             0.02533               0.000
               1026.              0.2903             0.02510               0.000
               1027.              0.2912             0.02487               0.000
               1028.              0.2921             0.02464               0.000
               1029.              0.2929             0.02441               0.000
               1030.              0.2938             0.02419               0.000
               1031.              0.2948             0.02398               0.000
               1032.              0.2958             0.02376               0.000
               1033.              0.2967             0.02355               0.000
               1034.              0.2975             0.02333               0.000
               1035.              0.2983             0.02311               0.000
               1036.              0.2992             0.02290               0.000
               1037.              0.3000             0.02268               0.000
               1038.              0.3008             0.02247               0.000
               1039.              0.3016             0.02226               0.000
               1040.              0.3025             0.02205               0.000
               1041.              0.3032             0.02184               0.000
               1042.              0.3041             0.02164               0.000
               1043.              0.3048             0.02144               0.000
               1044.              0.3056             0.02123               0.000
               1045.              0.3064             0.02103               0.000
               1046.              0.3072             0.02084               0.000
               1047.              0.3082             0.02065               0.000
               1048.              0.3091             0.02047               0.000
               1049.              0.3099             0.02027               0.000
               1050.              0.3107             0.02008               0.000
               1051.              0.3115             0.01987               0.000
               1052.              0.3123             0.01966               0.000
               1053.              0.3131             0.01945               0.000
               1054.              0.3139             0.01925               0.000
